Name,NominalX,NominalY,NominalZ,ActualX,ActualY,ActualZ,DevX,DevY,DevZ,Dev3D
P7_NL_H4,-16.1373,2.5132,-64.0209,-16.1373,2.5132,-64.0209,0.0000,0.0000,0.0000,
P7_NL_H5,-18.7071,5.9552,-64.0205,-18.7071,5.9552,-64.0205,0.0000,0.0000,0.0000,
P8_FL_H1,-18.6514,-1.8655,-64.0355,-18.6514,-1.8655,-64.0355,0.0000,0.0000,0.0000,
P8_FL_H2,-14.5953,-0.4808,-64.0377,-14.5953,-0.4808,-64.0377,0.0000,0.0000,0.0000,
P8_FL_H3,-12.0115,-3.9103,-64.0381,-12.0115,-3.9103,-64.0381,0.0000,0.0000,0.0000,
P8_FL_H4,-14.4881,-7.4237,-64.0351,-14.4881,-7.4237,-64.0351,0.0000,0.0000,0.0000,
P8_FL_H5,-18.5893,-6.1388,-64.0351,-18.5893,-6.1388,-64.0351,0.0000,0.0000,0.0000,
P8_NL_H1,-18.7474,-2.0670,-64.0875,-18.7474,-2.0670,-64.0875,0.0000,0.0000,0.0000,
P8_NL_H2,-14.7013,-0.6548,-64.0774,-14.7013,-0.6548,-64.0774,0.0000,0.0000,0.0000,
P8_NL_H3,-12.0960,-4.0687,-64.0779,-12.0960,-4.0687,-64.0779,0.0000,0.0000,0.0000,
P8_NL_H4,-14.5506,-7.5952,-64.0874,-14.5506,-7.5952,-64.0874,0.0000,0.0000,0.0000,
P8_NL_H5,-18.6580,-6.3376,-64.0941,-18.6580,-6.3376,-64.0941,0.0000,0.0000,0.0000,
P9_FL_H1,-13.8605,-12.5684,-64.0407,-13.8605,-12.5684,-64.0407,0.0000,0.0000,0.0000,
P9_FL_H2,-11.4140,-9.0515,-64.0395,-11.4140,-9.0515,-64.0395,0.0000,0.0000,0.0000,
P9_FL_H3,-7.3014,-10.2843,-64.0399,-7.3014,-10.2843,-64.0399,0.0000,0.0000,0.0000,
P9_FL_H4,-7.2174,-14.5815,-64.0398,-7.2174,-14.5815,-64.0398,0.0000,0.0000,0.0000,
P9_FL_H5,-11.2799,-15.9756,-64.0402,-11.2799,-15.9756,-64.0402,0.0000,0.0000,0.0000,
P9_NL_H1,-13.9734,-12.6501,-64.1040,-13.9734,-12.6501,-64.1040,0.0000,0.0000,0.0000,
P9_NL_H2,-11.5261,-9.1333,-64.0904,-11.5261,-9.1333,-64.0904,0.0000,0.0000,0.0000,
P9_NL_H3,-7.4132,-10.3664,-64.0838,-7.4132,-10.3664,-64.0838,0.0000,0.0000,0.0000,
P9_NL_H4,-7.3293,-14.6638,-64.0921,-7.3293,-14.6638,-64.0921,0.0000,0.0000,0.0000,
P9_NL_H5,-11.3928,-16.0569,-64.1031,-11.3928,-16.0569,-64.1031,0.0000,0.0000,0.0000,
